"Statistic Label","Month","Domestic or Import Source","UNIT","VALUE"
"Intake of Cows Milk by Milk Processors and Co-Ops","1997 June","Domestic","Million Litres","674.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","1997 July","Domestic","Million Litres","660.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","1997 August","Domestic","Million Litres","559.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","1997 September","Domestic","Million Litres","447.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1997 October","Domestic","Million Litres","357.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","1997 November","Domestic","Million Litres","200.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","1997 December","Domestic","Million Litres","128.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","1998 January","Domestic","Million Litres","120.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","1998 February","Domestic","Million Litres","195"
"Intake of Cows Milk by Milk Processors and Co-Ops","1998 March","Domestic","Million Litres","382.3"
"Intake of Cows Milk by Milk Processors and Co-Ops","1998 April","Domestic","Million Litres","575.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","1998 May","Domestic","Million Litres","680"
"Intake of Cows Milk by Milk Processors and Co-Ops","1998 June","Domestic","Million Litres","659.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","1998 July","Domestic","Million Litres","609.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1998 August","Domestic","Million Litres","567.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1998 September","Domestic","Million Litres","461.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","1998 October","Domestic","Million Litres","363.2"
"Intake of Cows Milk by Milk Processors and Co-Ops","1998 November","Domestic","Million Litres","200.6"
"Intake of Cows Milk by Milk Processors and Co-Ops","1998 December","Domestic","Million Litres","128.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","1999 January","Domestic","Million Litres","115.7"
"Intake of Cows Milk by Milk Processors and Co-Ops","1999 February","Domestic","Million Litres","182.1"
"Intake of Cows Milk by Milk Processors and Co-Ops","1999 March","Domestic","Million Litres","406.8"
"Intake of Cows Milk by Milk Processors and Co-Ops","1999 April","Domestic","Million Litres","564.4"
"Intake of Cows Milk by Milk Processors and Co-Ops","1999 May","Domestic","Million Litres","688.9"
"Intake of Cows Milk by Milk Processors and Co-Ops","1999 June","Domestic","Million Litres","625.5"
"Intake of Cows Milk by Milk Processors and Co-Ops","1999 July","Domestic","Million Litres","611"
"Intake of Cows Milk by Milk Processors and Co-Ops","1999 August","Domestic","Million Litres","574.9"
